reseña,sentimiento
"Este producto es excelente, estoy muy contento con mi compra.",1
"No me gustó nada, es de pésima calidad y no funciona bien.",0
"Buena relación calidad-precio, recomendable.",1
"Decepcionante, no cumple con lo que promete en el anuncio.",0
"Increíble producto, supera todas mis expectativas.",1
"Terrible servicio al cliente, nunca más compraré aquí.",0
La entrega fue rápida y el producto llegó en perfectas condiciones.,1
"Pésima experiencia de compra, el producto vino dañado.",0
"Me encanta, funciona muy bien y es fácil de usar.",1
"No lo recomiendo, se rompió a los pocos días de usarlo.",0
"Buena calidad de construcción, resistente y duradero.",1
"Demasiado caro para lo que ofrece, hay mejores opciones.",0
"Excelente atención al cliente, resolvieron mi problema rápidamente.",1
La aplicación es intuitiva y funciona sin problemas.,1
"Inestable y lleno de errores, no puedo utilizarlo correctamente.",0
"Gran producto, vale cada centavo que pagué por él.",1
"No puedo estar más feliz con esta compra, totalmente recomendable.",1
"Decepción total, nada que ver con lo que esperaba.",0
"Perfecto para mis necesidades, justo lo que buscaba.",1
"Mala experiencia, no volveré a confiar en esta marca.",0
